customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0001,Calvin,Macdonald,dayrobert@example.com,001-627-302-1463x3774,2024-09-10,South Jonathan,Oklahoma,India,26-35
CUST0002,Dawn,Vega,flowersjohn@example.net,704.221.0548x995,2024-09-24,Wrightshire,Oklahoma,India,46-60
CUST0003,Jacqueline,Greene,bbrock@example.com,(366)724-5534x6277,2024-07-02,East Samuel,Colorado,India,18-25
CUST0004,Joseph,Wiley,unewton@example.net,346-406-3710x9482,2023-06-03,Brianfort,Maryland,India,36-45
CUST0005,Shawn,Cook,eric82@example.com,+1-950-655-2971,2023-02-17,Lake Erica,Indiana,India,26-35
CUST0006,Mark,Yang,deborahbell@example.com,271.364.7377x28482,2024-09-18,Josephside,New Jersey,India,36-45
CUST0007,Carl,Rodriguez,willie98@example.org,+1-556-980-0068x354,2024-02-22,Port Jillberg,Missouri,India,18-25
CUST0008,Terri,Cruz,hickssusan@example.org,635-301-5178x63568,2024-11-10,New Anthonyfort,Idaho,India,60+
CUST0009,Susan,Andrews,adam91@example.com,001-377-549-7242x38503,2025-12-25,Bethfort,Massachusetts,India,36-45
CUST0010,Steven,Johnson,johnnelson@example.org,(507)971-6986x6219,2025-07-09,Lake Heather,New Mexico,India,18-25
CUST0011,Tiffany,Johnson,pricebrian@example.org,492-369-1999x4117,2025-08-15,New Alexandermouth,New Hampshire,India,18-25
CUST0012,Donna,Mitchell,rcollier@example.net,001-532-328-6167x6854,2023-06-12,Carpenterport,Vermont,India,36-45
CUST0013,Mariah,Adams,jennifer80@example.net,+1-424-250-9734x281,2025-07-21,Hendrixburgh,Pennsylvania,India,46-60
CUST0014,John,Garcia,weaverjason@example.com,(638)507-3800x289,2023-08-01,New Jessicabury,Ohio,India,36-45
CUST0015,Jonathan,Meadows,solisbrian@example.com,920.511.9553,2024-11-29,Lake Johnton,New Hampshire,India,36-45
CUST0016,Jenny,Velasquez,lisa18@example.com,001-536-736-1627x2733,2025-08-14,East Jessefort,Florida,India,60+
CUST0017,Lauren,Wallace,michael77@example.org,715-243-2713,2025-11-21,Rosshaven,Vermont,India,60+
CUST0018,Robert,Gilmore,whitneymcdonald@example.org,657-646-9745x719,2023-09-14,South Benjaminborough,Michigan,India,60+
CUST0019,Leslie,Paul,lynnfoster@example.com,625-951-7649x2605,2025-06-18,South Dannyton,Hawaii,India,18-25
CUST0020,Brenda,Floyd,miaobrien@example.org,420-649-4964x988,2024-02-14,North Stevenmouth,Texas,India,26-35
CUST0021,David,Martinez,tapiajennifer@example.net,405.769.8964x9810,2024-12-17,Charlesburgh,New Mexico,India,60+
CUST0022,Deborah,Burns,cruzdominique@example.com,001-490-667-4267x284,2025-04-26,West Jessicastad,Connecticut,India,60+
CUST0023,Dennis,Anderson,laurachapman@example.com,(966)411-8017x997,2024-01-11,Lake Kenneth,Massachusetts,India,46-60
CUST0024,Thomas,Davenport,ybarrett@example.org,001-668-389-2626x6202,2025-11-06,Port Calebberg,California,India,60+
CUST0025,Willie,Turner,jocelynsellers@example.org,4805102824,2025-09-06,Port Markberg,South Dakota,India,36-45
CUST0026,Hannah,Adams,amanda33@example.com,663-616-5208x699,2024-01-28,Port Deniseside,Nebraska,India,60+
CUST0027,Joseph,Tucker,conwaymatthew@example.com,+1-370-995-6518x090,2023-08-29,Janeland,Indiana,India,60+
CUST0028,Nicole,Rodriguez,stacey95@example.net,(415)383-3079x669,2023-06-19,Lake Nancy,New Jersey,India,46-60
CUST0029,Nancy,Stein,gsingh@example.com,(645)396-4458x0451,2025-01-30,Perryville,Indiana,India,46-60
CUST0030,Stacy,Richardson,mford@example.com,+1-317-996-6624x58901,2025-10-18,West Arthur,Iowa,India,18-25
CUST0031,Rodney,Ford,michaeldixon@example.net,685.296.3189,2024-08-25,Port Amanda,Washington,India,18-25
CUST0032,Kevin,Gordon,justinpeterson@example.org,613.732.4545,2023-03-25,East Belinda,Hawaii,India,46-60
CUST0033,Justin,Rodriguez,stephanie23@example.org,001-385-907-8198x383,2023-12-18,Cooperville,Florida,India,60+
CUST0034,Jonathan,Smith,daniel45@example.org,521.393.4595,2025-11-02,New Sherriborough,Indiana,India,36-45
CUST0035,Sarah,Rogers,cynthiacooper@example.net,818-688-4414x257,2025-06-30,North Ronaldfurt,Hawaii,India,36-45
CUST0036,David,Anderson,rhaynes@example.net,001-901-930-3035x5985,2023-12-19,Denniston,Oklahoma,India,36-45
CUST0037,Victoria,Marshall,michele22@example.com,001-380-766-7890,2025-09-29,Morrisfurt,Missouri,India,18-25
CUST0038,Brittany,Thompson,kevin02@example.org,(930)271-3029x7807,2024-05-21,North Sandra,Massachusetts,India,36-45
CUST0039,Rachel,Martinez,lauramartin@example.com,351.998.0196x7502,2024-09-29,West Robert,Kansas,India,46-60
CUST0040,Matthew,Hansen,anthony16@example.org,880-348-1156,2025-10-15,Donaldmouth,Iowa,India,36-45
CUST0041,Jill,Simmons,tsandoval@example.com,+1-245-787-2685x2123,2024-03-30,East Louis,Wisconsin,India,46-60
CUST0042,Norma,Hampton,trandaniel@example.net,828-805-0308x9888,2025-04-02,West Robertburgh,New Jersey,India,26-35
CUST0043,Ashlee,Hendrix,mccormickrodney@example.com,393.273.0285x41204,2024-08-31,Smithfurt,New Mexico,India,46-60
CUST0044,Beth,Hurst,angela01@example.com,(463)529-8242x917,2024-10-26,Mitchellview,Alaska,India,36-45
CUST0045,Lauren,Wheeler,manuelterry@example.net,593-617-7910,2023-09-21,Chadfort,Maryland,India,46-60
CUST0046,Shannon,Bryant,amy77@example.com,(724)476-4075x530,2025-09-19,Jonathanburgh,Maine,India,26-35
CUST0047,Jennifer,Schultz,oconrad@example.org,(616)428-9152x4867,2025-12-07,East Johnberg,Wisconsin,India,26-35
CUST0048,Donna,Perez,tannergregory@example.com,694.392.0114x2820,2024-09-29,Cesarshire,Louisiana,India,46-60
CUST0049,Amanda,Mcfarland,heather84@example.com,+1-317-331-3056x5749,2024-09-24,Williamton,Colorado,India,46-60
CUST0050,Caleb,Smith,martinezsandra@example.net,001-900-568-2442,2024-07-17,Port Amandaton,Massachusetts,India,26-35
CUST0051,Elizabeth,Rocha,sophia69@example.com,(453)743-2119x51484,2024-07-10,Evanston,Nevada,India,46-60
CUST0052,Steven,Cortez,bethmooney@example.com,(466)913-3588,2023-06-25,West Erikatown,Illinois,India,18-25
CUST0053,Joshua,Burnett,john56@example.com,+1-568-744-0429,2025-05-11,Ericaport,Montana,India,46-60
CUST0054,Jennifer,Howard,andrew59@example.com,+1-989-845-3622x3290,2025-04-17,East Ericside,Rhode Island,India,46-60
CUST0055,Lisa,Chambers,brenda10@example.com,+1-231-251-8574,2023-02-28,Georgeberg,Rhode Island,India,18-25
CUST0056,Patrick,Lopez,hwalker@example.com,9733842763,2025-02-08,South Margaretburgh,Rhode Island,India,46-60
CUST0057,Jennifer,Walker,mortonjoseph@example.org,(336)712-5216,2023-09-25,West Andrew,Iowa,India,26-35
CUST0058,Mary,Hayes,turnermatthew@example.com,+1-803-464-9145x48764,2025-05-08,West Rhondaborough,Kentucky,India,46-60
CUST0059,John,Haley,santanajohn@example.com,(905)709-2311x7380,2025-08-06,West Carlaville,Maine,India,46-60
CUST0060,Sherry,Bennett,jessicasmith@example.com,001-251-514-6714x12040,2023-08-04,Julieshire,Virginia,India,60+
CUST0061,Larry,Dickerson,lisabaker@example.com,001-706-573-5345,2024-04-20,Robertstad,Colorado,India,26-35
CUST0062,Monica,Schmidt,xwallace@example.org,+1-988-784-2299,2023-09-27,East Lisatown,Missouri,India,26-35
CUST0063,Jonathan,Maynard,turnerbradley@example.com,+1-323-761-2056x4961,2025-03-02,Lake Brianmouth,South Dakota,India,36-45
